"Latin","gx","gy"
"Acer rubrum",155.8,330.2
"Acer rubrum",159.7,332.1
"Acer rubrum",140.7,330.4
"Acer rubrum",155.6,369.2
"Acer rubrum",154.3,365
"Acer rubrum",158.9,372.3
"Acer rubrum",140.7,384.4
"Acer rubrum",156.8,382.7
"Acer rubrum",152.7,386.8
"Acer rubrum",147.3,391.7
"Acer rubrum",147.5,485.5
"Acer rubrum",146.9,485.3
"Acer rubrum",146.2,521.8
"Acer rubrum",158,540.2
"Acer rubrum",140.8,555.8
"Acer rubrum",159.9,574.6
"Acer rubrum",167.1,14.6
"Acer rubrum",168.6,31.6
"Acer rubrum",162.4,39.5
"Acer rubrum",176.4,63.6
"Acer rubrum",164.1,117.7
"Acer rubrum",165.2,132.2
"Acer rubrum",169.4,163.1
"Acer rubrum",175,277.6
"Acer rubrum",180,290.9
"Acer rubrum",160.9,318.9
"Acer rubrum",176.2,325.6
"Acer rubrum",162.6,332.6
"Acer rubrum",163.7,333.5
"Acer rubrum",168.6,335.9
"Acer rubrum",167.1,353.9
"Acer rubrum",161.8,358.2
"Acer rubrum",162,359.7
"Acer rubrum",169.5,361.1
"Acer rubrum",167.4,369.8
"Acer rubrum",165.7,369
"Acer rubrum",160.6,365.5
"Acer rubrum",175.6,368.2
"Acer rubrum",162.6,363
"Acer rubrum",170.1,379.3
"Acer rubrum",169.2,374.5
"Acer rubrum",161.3,381.7
"Acer rubrum",170.4,387.3
"Acer rubrum",160.8,396.6
"Acer rubrum",162.4,418.4
"Acer rubrum",179.8,445.2
"Acer rubrum",168.8,485.9
"Acer rubrum",169.6,507
"Acer rubrum",162.4,628.4
"Acer rubrum",170.3,626.2
"Acer rubrum",187.8,88.7
"Acer rubrum",187.9,88.4
"Acer rubrum",181.6,158.5
"Acer rubrum",197.6,253.1
"Acer rubrum",183.3,288.9
"Acer rubrum",187.1,319
"Acer rubrum",194.1,324.5
"Acer rubrum",193.3,327.1
"Acer rubrum",181.7,362.5
"Acer rubrum",192.6,369.5
