"site_code","count_id","line","species_id","liana","count","record_id","site_id","site_name","country","state_province","continent","lat","lon","min_elev","max_elev","precip"
"ALLPAHUA",104844,8,1443,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104845,6,1499,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104846,7,1499,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104847,4,1579,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104848,5,1579,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104849,1,1582,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104850,1,1583,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104851,2,1583,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104852,8,1588,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104853,6,1707,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104854,1,1708,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104855,1,1737,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104856,5,1737,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104857,7,1737,"",3,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104858,3,1749,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104859,3,1757,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104860,5,1841,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104861,1,1861,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104862,3,1871,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104863,7,1910,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104864,4,1916,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104865,4,1917,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104866,6,1928,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104867,9,1928,"",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104868,7,1951,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104869,2,1952,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104870,2,1910,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104871,1,1968,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104872,4,2114,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104873,6,2133,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104874,10,2136,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104875,9,2163,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104876,1,2245,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104877,9,2246,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104878,4,2300,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104879,1,2328,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104880,6,2389,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104881,2,2429,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104882,1,2528,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104883,4,2529,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104884,8,2530,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104885,9,2531,"H",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104886,8,2612,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104887,9,2612,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104888,4,2630,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104889,6,2642,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104890,3,2690,"L",5,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104891,5,2691,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104892,5,2709,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104893,9,2760,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104894,1,2766,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104895,7,2774,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104896,1,2790,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104897,2,3016,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104898,3,3044,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104899,10,3045,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104900,3,3095,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104901,4,3095,"L",3,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104902,2,3270,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104903,4,3271,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104904,1,3346,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104905,10,3350,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104906,10,3500,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104907,2,3501,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104908,8,3524,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104909,6,3525,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104910,1,3560,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104911,5,3625,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104912,10,3666,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104913,2,3671,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104914,1,3722,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104915,3,3722,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104916,4,3722,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104917,5,3722,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104918,6,3722,"",3,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104919,7,3722,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104920,6,3755,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104921,4,3842,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104922,2,3937,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104923,3,3941,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104924,8,3941,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104925,9,4044,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104926,5,4045,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104927,5,4084,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104928,3,4123,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104929,8,4133,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104930,7,4161,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104931,8,4163,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104932,9,4178,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104933,1,4182,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104934,3,4207,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104935,10,4219,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104936,10,4223,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104937,5,4231,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104938,9,4235,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104939,7,4247,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104940,1,4264,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104941,2,4266,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104942,6,4267,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104943,5,4270,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104944,5,4274,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104945,2,4317,"",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104946,4,4318,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104947,2,4340,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104948,3,4340,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104949,4,4340,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104950,7,4340,"L",2,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104951,9,4340,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104952,5,4342,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
"ALLPAHUA",104953,9,4343,"L",1,146,146,"Allpahuayo","Peru","","South America",-3.95,-73.42,130,180,3100
