"Latin","gx","gy"
"Fagus sylvatica",4390893.31,5661530.47
"Fagus sylvatica",4390900.07,5661536.58
"Fagus sylvatica",4390895.78,5661529.99
"Fagus sylvatica",4390898.04,5661526.19
"Carpinus betulus",4390894.84,5661527.81
"Fagus sylvatica",4390894.31,5661522.29
"Fagus sylvatica",4390898.14,5661521.99
"Fagus sylvatica",4390896.74,5661519.53
"Fagus sylvatica",4390896.35,5661518.92
"Fagus sylvatica",4390894.95,5661517.04
"Fagus sylvatica",4390897.47,5661513.36
"Fagus sylvatica",4390896.57,5661513.44
"Fagus sylvatica",4390894.02,5661511.19
"Fagus sylvatica",4390890.51,5661509.22
"Fagus sylvatica",4390889.94,5661508.03
"Fagus sylvatica",4390888.55,5661509.6
"Fagus sylvatica",4390891.19,5661506.35
"Fagus sylvatica",4390895.47,5661507.91
"Fagus sylvatica",4390895.17,5661506.3
"Fagus sylvatica",4390899.14,5661507.57
"Carpinus betulus",4390898.58,5661507.37
"Fagus sylvatica",4390898.18,5661509.62
"Fagus sylvatica",4390899.67,5661551.84
"Fagus sylvatica",4390896.21,5661561.96
"Acer pseudoplatanus",4390895.86,5661562.17
"Fagus sylvatica",4390900.57,5661424.7
"Fagus sylvatica",4390901.47,5661428.97
"Fagus sylvatica",4390901.54,5661448.74
"Fagus sylvatica",4390913.4,5661447.64
"Fagus sylvatica",4390917.8,5661448.97
"Fagus sylvatica",4390918.01,5661446.17
"Fagus sylvatica",4390918.46,5661441.78
"Fagus sylvatica",4390913.7,5661440.4
"Fagus sylvatica",4390912.29,5661438.9
"Fagus sylvatica",4390916.3,5661434.9
"Fagus sylvatica",4390915.97,5661431.76
"Fagus sylvatica",4390912.25,5661432.17
"Fagus sylvatica",4390913.49,5661429.99
"Fagus sylvatica",4390909.01,5661422.11
"Fagus sylvatica",4390912.53,5661420.34
"Fraxinus excelsior",4390912.48,5661422.49
"Fagus sylvatica",4390915.04,5661421.83
"Acer platanoides",4390914.65,5661421.24
"Fraxinus excelsior",4390924.09,5661420.4
"Fagus sylvatica",4390925.78,5661421.24
"Fagus sylvatica",4390925.66,5661426.98
"Fagus sylvatica",4390923.41,5661440.25
"Fagus sylvatica",4390926.77,5661439.51
"Fagus sylvatica",4390921.29,5661444.49
"Fagus sylvatica",4390922.84,5661445.15
"Fagus sylvatica",4390923.48,5661449.1
"Fagus sylvatica",4390931.47,5661448.38
"Fagus sylvatica",4390931.97,5661447.95
"Fagus sylvatica",4390932.88,5661448.29
"Fagus sylvatica",4390928.57,5661431.18
"Fagus sylvatica",4390928.24,5661427.23
"Acer pseudoplatanus",4390933.85,5661428.49
"Fagus sylvatica",4390935.7,5661424.1
"Fagus sylvatica",4390938.35,5661423.46
"Fagus sylvatica",4390939.28,5661424.12
"Fagus sylvatica",4390937.92,5661419.5
"Fagus sylvatica",4390938.44,5661418.06
"Fagus sylvatica",4390940.34,5661418.2
"Fagus sylvatica",4390940.69,5661419.54
"Fagus sylvatica",4390941.76,5661418.35
"Fagus sylvatica",4390942.64,5661418.13
"Fagus sylvatica",4390942.53,5661417.66
"Fagus sylvatica",4390941.29,5661426.2
"Fagus sylvatica",4390942.97,5661433.11
"Fagus sylvatica",4390944.41,5661434.39
"Fagus sylvatica",4390946.92,5661433.39
"Fagus sylvatica",4390941.93,5661434.62
"Fagus sylvatica",4390940.41,5661434.53
"Fagus sylvatica",4390938.98,5661435.58
"Fagus sylvatica",4390942.89,5661440.29
"Acer pseudoplatanus",4390941.35,5661442.43
"Fagus sylvatica",4390941.74,5661448.29
"Fagus sylvatica",4390947.99,5661447.26
"Fagus sylvatica",4390948.9,5661447.23
"Fagus sylvatica",4390908.09,5661421.77
"Fagus sylvatica",4390912.49,5661423.21
"Fagus sylvatica",4390900.39,5661450.42
"Fagus sylvatica",4390900.94,5661454.49
"Fagus sylvatica",4390902.75,5661458.18
"Fagus sylvatica",4390905.51,5661455.87
"Fagus sylvatica",4390906.94,5661460.25
"Fagus sylvatica",4390900.37,5661476.63
"Fagus sylvatica",4390903.28,5661476.94
"Fraxinus excelsior",4390900.7,5661487.92
"Fagus sylvatica",4390901.86,5661490.23
